index,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature;;;
0,Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68.0,2012.0,acoustic,0.483,0.303,4.0,-10.058,1.0,0.0429,0.694,0.0,0.115,0.139,133.406,240166.0,3;;;
1,Jason Mraz,93 Million Miles,1s8tP3jP4GZcyHDsjvw218,50.0,2012.0,acoustic,0.572,0.454,3.0,-10.286,1.0,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216387.0,4;;;
2,Joshua Hyslop,Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,57.0,2012.0,acoustic,0.409,0.234,3.0,-13.711,1.0,0.0323,0.338,5e-05,0.0895,0.145,139.832,158960.0,4;;;
3,Boyce Avenue,Fast Car,63wsZUhUZLlh1OsyrZq7sz,58.0,2012.0,acoustic,0.392,0.251,10.0,-9.845,1.0,0.0363,0.807,0.0,0.0797,0.508,204.961,304293.0,4;;;
4,Andrew Belle,Sky's Still Blue,6nXIYClvJAfi6ujLiKqEq8,54.0,2012.0,acoustic,0.43,0.791,6.0,-5.419,0.0,0.0302,0.0726,0.0193,0.11,0.217,171.864,244320.0,4;;;
5,Chris Smither,What They Say,24NvptbNKGs6sPy1Vh1O0v,48.0,2012.0,acoustic,0.566,0.57,2.0,-6.42,1.0,0.0329,0.688,1.73e-06,0.0943,0.96,83.403,166240.0,4;;;
6,Matt Wertz,Walking in a Winter Wonderland,0BP7hSvLAG3URGrEvNNbGM,48.0,2012.0,acoustic,0.575,0.606,9.0,-8.197,1.0,0.03,0.0119,0.0,0.0675,0.364,121.083,152307.0,4;;;
7,Green River Ordinance,Dancing Shoes,3Y6BuzQCg9p4yH347Nn8OW,45.0,2012.0,acoustic,0.586,0.423,7.0,-7.459,1.0,0.0261,0.252,5.83e-06,0.0976,0.318,138.133,232373.0,4;;;
8,Jason Mraz,Living in the Moment,3ce7k1L4EkZppZPz1EJWTS,44.0,2012.0,acoustic,0.65,0.628,7.0,-7.16,1.0,0.0232,0.0483,0.0,0.119,0.7,84.141,235080.0,4;;;
9,Boyce Avenue,Heaven,2EKxmYmUdAVXlaHCnnW13o,58.0,2012.0,acoustic,0.619,0.28,8.0,-10.238,0.0,0.0317,0.73,0.0,0.103,0.292,129.948,250063.0,4;;;
10,Tristan Prettyman,Say Anything,1RjEDlhTp2iJXWPdLpa8OM,45.0,2012.0,acoustic,0.657,0.43,1.0,-10.202,1.0,0.0314,0.534,0.000238,0.12,0.335,91.967,236379.0,4;;;
11,David Gray,Money (That's What I Want) - From Jim Beam's Live Music Series,38sSJ12azM6Mic7ajbHKBi,45.0,2012.0,acoustic,0.655,0.692,5.0,-6.217,1.0,0.0326,0.568,2.34e-05,0.119,0.547,121.455,234270.0,4;;;
12,Boyce Avenue,Someone Like You,6VtoP2sJt5oCmPOQIve2sf,55.0,2012.0,acoustic,0.439,0.207,1.0,-9.573,1.0,0.0297,0.608,0.0,0.186,0.264,136.514,276147.0,4;;;
13,Jason Mraz,The Woman I Love,0AYG9AcwqEeqgAw3OvshPC,40.0,2012.0,acoustic,0.591,0.647,4.0,-8.34,1.0,0.0277,0.067,6.57e-05,0.231,0.678,79.68,190752.0,4;;;
